ID,TenSach,TacGia,LoaiCSDL,STTKe,NXB,ChuDe
272316,Professional DCOM programming : A guide to creating practical applications with Microsoft's distributed component object model,"Grimes, Richard
",Sách in,"004.36   
/ G862 
","Birmingham, U.K.: Wrox press, 1997",Lập trình hướng đối tượng (Khoa học máy tính); Object-oriented programming (Computer science)
273500,"Objects on the Web : Designing, building, and deploying object-oriented applications for the Web","Ben-Natan, Ron
",Sách in,"005.276   
/ B456 
","New York: McGraw-Hill, 1997",Lập trình hướng đối tượng (khoa học máy tính); Object-oriented programming (Computer science)
270857,Classical and object-oriented software engineering with UML and C++,"Schach, Stephen R.
",Sách in,"005.1   
/ S291 
","Boston: WCB/McGraw-Hill, 1999",Lập trình hướng đối tượng (Khoa học máy tính); Object-oriented programming (Computer science)
261994,Lập trình hướng đối tượng : Những khái niệm chung (song ngữ Anh - Việt có chú giải thuật ngữ),"Trần, Đức Quang  - Biên dịch và chú giải
",Sách in,"005.133   
/ L123 
","Thành phố Hồ Chí Minh: Đại học Quốc gia Thành phố Hồ Chí Minh, 2002",Lập trình hướng đối tượng (khoa học máy tính); Object-oriented programming (computer science)
270755,UML pour l'analyse d'un système d'information : Le cahier des charges du maître d'ouvrage,"Gardarin, Georges  - Préface
",Sách in,"005.12   
/ M864 
","Paris: Dunod, 2002",UML (khoa học máy tính); UML (Computer science)
156835,"Computer mathematics : Proceedings of the sixth Asian sysposium ( ASCM 2003 ). Beijing, China 17-19 April 2003","Li, William - Editors ;  
Sit, William  - Editors
",Sách in,"004.0151   
/ C736 
","Singapore: World Scientific, 2003",Computer science; Khoa học máy tính
270964,Giáo trình nhập môn UML,"Đoàn, Thiện Ngân - Hiệu đính ;  
Hoàng, Đức Hải  - Đồng tác giả
",Sách in,"005.117   
/ Đ552 
","Hà Nội: Lao động - Xã hội, 2003",UML (khoa học máy tính); UML (computer science)
272434,"Kỹ thuật và ứng dụng UML với rotional rose 2002 : Cập nhật đầy đủ theo rose 2002, 2001 và 2001A","Nguyễn, Tiến ",Sách in,"005.117   
/ K600 
","Hà Nội: Thống kê, 2003",UML (khoa học máy tính); UML (Computer science)
91603,Tin học phổ thông : Tự học Mac OS X 10.03 Panther nhanh chóng dễ dàng,"Nguyễn, Văn Khoa
",Sách in,"005.43   
/ Kh401 
","Hà Nội: Thống kê, 2004",Computer science; Khoa học máy tính
151747,Introcdution to computer science using Java,"Weiss, Seth ",Sách in,"005.133   
/ L695 
","New York: Glencoe/McGraw-Hill, 2004",Computer science; Java (Computer program language); Ngôn ngữ lập trình Java; Khoa học máy tính
165799,Acrobat 6 and PDF solutions,"Tally, Taz
",Sách in,"005.72   
/ T147 
","Alameda, CA.: Sybex, Inc., 2004",File conversion (Computer science); PDF (Computer file format); Portable document software; Chuyển đổi tập tin (Khoa học máy tính); PDF (định dạng tập tin máy tính); Tài liệu phần mềm có thể di chuyển được
133383,Multimedia multicast on the Internet,"Benslimane, Abderrahim  - Editor
",Sách in,"004.66   
/ M954 
","London ; Newport Beach, CA: ISTE, c2007",Multicasting (Computer networks); Multimedia systems; Truyền tin đa phương tiện (trên mạng máy tính); Hệ thống truyền thông đa phương tiện
166697,LAN wiring,"Trulove, James
",Sách in,"004.68   
/ T866 
","New York: McGraw-Hill, 2006",Local area networks (Computer networks); Electric wiring; Mạng cục bộ (Mạng máy tính); Dây điện
272461,Bảo mật và quản trị mạng,"Nguyễn, Thanh Quang - Sưu tầm, biên soạn ;  
Hoàng, Anh Quang  - Sưu tầm, biên soạn
",Sách in,"005.8   
/ B108 
","Hà Nội: Văn hóa - Thông tin, 2006",Mạng máy tính; Computer networks
58161,Network security essentials : Applications and standards,"Stallings, William
",Sách in,"005.8   
/ S783 
","Upper Saddle River, NJ: Pearson Education, 2007",Mạng máy tính; Computer networks; Database management
133971,Communication networks : Principles and practice,"Narang, Sumit ",Sách in,"621.3821   
/ K19 
","New York: McGraw-Hill, 2007",Computer networks; Internetworking (Telecommunication); Mạng máy tính; Liên mạng (Viễn thông)
138305,IP location,"Dawson, Martin
",Sách in,"621.3821   
/ D272 
","New York, N.Y: McGraw-Hill, 2007",TCP/IP (Computer network protocol); Geographical positions; Giao thức mạng máy tính
140658,Giáo trình internet và giáo dục điện tử,"Tôn, Thất Hòa An - Biên soạn ;  
Hoàng, Kiếm  - Hiệu đính
",Sách in,"004.6507   
/ Gi108 
","Thành phố Hồ Chí Minh: Đại học Quốc gia Thành phố Hồ Chí Minh, 2007",Internet ( computer network ); Programming languages ( electronic computers ); Internet (Mạng máy tính); Ngôn ngữ lập trình (Máy tính điện tử)
142888,Giáo trình Internet - Web : (Dùng trong các trường THCN),"Trịnh, Quốc Tuấn
",Sách in,"004.6507   
/ T502 
","Hà Nội: Nhà xuất bản Hà Nội, 2007",Internet (computer network); Internet (Mạng máy tính)
142889,Giáo trình Java : (Dùng cho các trường THCN),"Nguyễn, Quang Uy
",Sách in,"005.133   
/ U523 
","Hà Nội: Giáo dục, 2007",Java ( computer program language ); Internet ( computer network); World wide web ( information retrieval systems ); Java (ngôn ngữ lập trình máy tính); Internet (mạng máy tính); Mạng toàn cầu (xây dựng hệ thống thông tin)
153144,Network security : Current status and future directions,"Serpanos, Dimitrios N. ",Sách in,"005.8   
/ S472 
","Hoboken, N.J.: Wiley, 2007",Computer networks; Mạng máy tính
153237,Principles of information systems security : Text and cases,"Dhillon, Gurpreet
",Sách in,"005.8   
/ D533 
","Hoboken, NJ.: John Wiley & Sons, 2007",Computer security; Computer networks; An ninh máy tính; Mạng máy tính
270970,Phương pháp cấu hình và thiết lập bảo mật trên Windows Server 2003 đối với mạng doanh nghiệp,"Vũ, Đình Cường
",Sách in,"005.8   
/ C561 
","Hà Nội: Giao thông Vận tải, 2007",Mạng máy tính; Computer networks
142879,Mạng máy tính,"Đỗ, Trung Kiên ",Sách in,"004.65   
/ A105 
","Hà Nội: Giáo dục, 2009",Local area networks (computer networks); Communication; Network computing; Mạng khu vực (mạng náy tính); Truyền thông; Mạng máy tính
191363,Mạng máy tính,"Ngạc, Văn An
",Sách in,"004.65   
/ A105 
","Hà Nội: Giáo dục, 2011",Computer networks; Mạng máy tính
270771,Local area network design,"Williamson, R.C. ",Sách in,"621.3981   
/ H798 
","Wokingham: Addison-Wesley, 1986",Mạng cục bộ (Mạng máy tính); Local area networks (Computer networks)
270861,Network interrupts : A programmer's reference to network APIs,"Kyle, James ",Sách in,"005.71365   
/ B877 
","Reading, Mass.: Addison-Wesley, 1994",Mạng máy tính; Computer networks
262441,L'autoroute de l'information vers village global,"Masson, Mario
",Sách in,"004.67   
/ M419 
","Québec: Éditions, 1995",Mạng diện rộng (mạng máy tính); Wide area networks (Computer networks)
270761,Passeport pour les réseaux,"Masson, Mario
",Sách in,"004.65   
/ P287 
","Paris: IDG France books, 1995",Mạng máy tính; Computer networks
272364,The X series recommendations : Standards for data communications,"Black, Uyless D.
",Sách in,"004.62   
/ B627 
","New York: McGraw-Hill, 1995",Giao thức mạng máy tính; Computer network protocols
272378,"Network management standards : SNMP, CMIP, TMN, MIBs, and object libraries","Black, Uyless
",Sách in,"004.62   
/ B627 
","New York: McGraw-Hill, 1995",Mạng máy tính; Computer networks
278400,Hacking web apps : Detecting and preventing web application security problems,"Shema, Mike
",Sách in,"005.8   
/ S545 
","Amsterdam: Syngress, 2012",Mạng máy tính; Computer networks
23255,Intranet web development,"Desborough, John
",Sách in,"005.2   
/ D444 
","Indianapolis, Ind.: New Riders Pub., 1996",Intranets (Computer networks); Mạng nội bộ (Mạng máy tính)
262065,Enterprise networking : Strategies and transport protocols,"Leben, Joe ",Sách in,"004.6   
/ M379 
","Upper Saddle River, N.J.: Prentice Hall PTR, 1996",Mạng cục bộ (Mạng máy tính); Local area networks (Computer networks
262090,Teach yourself TCP/IP in 14 days,"Parker, Tim
",Sách in,"004.62   
/ P238 
","Indianapolis, I.N.: Sams Pub., 1996",TCP / IP (Giao thức mạng máy tính); TCP/IP (Computer network protocol)
270867,Internetworking with NetWare TCP/IP,"Kuo, Peter ",Sách in,"005.713   
/ S625 
","Indianapolis, I.N.: New Riders, 1996",TCP/IP (Giao thức mạng máy tính); TCP/IP (Computer network protocol)
262616,Réseaux,"Hernandez, Jean - Alain ;  
Joly, René  - Traducteur
",Sách in,"004.65   
/ T164 
","Paris: Prentice Hall, 1997",Mạng máy tính; Computer networks
270874,The Waite Group's NC guide,"Mohseni, Piroz
",Sách in,"004.6   
/ M699 
","Corte Madera, C.A.: Waite Group Press, 1997",Mạng máy tính; Computer networks
270849,Extranets : Building the business-to-business Web,"Bayles, Deborah L.
",Sách in,"650.0285   
/ B358 
","Upper Saddle River, N.J.: Prentice Hall PTR, 1998",Extranets (mạng máy tính); Extranets (Computer networks)
273502,Practical computer network analysis and design,"McCabe, James D.
",Sách in,"004.65   
/ M478 
","San Francisco, Calif.: Morgan Kaufmann Publishers, 1998",Mạng máy tính; Computer networks
262084,IP multicasting : Concepts and applications,"Niles, Kitty ",Sách in,"004.66   
/ G635 
","New York: McGraw-Hill, 1999",Đa nền tảng (mạng máy tính); Multicasting (Computer networks)
56346,Data and computer communications,"Stallings, William
",Sách in,"004.6   
/ S783 
","UpperSadddle River, NJ: Prentice-Hall, 2000",Data transmission systems; Computer networks; Hệ thống quản lý cơ sở dữ liệu; Mạng máy tính
270846,Administering NetWare 5,"Cady, Dorothy
",Sách in,"005.44769   
/ C126 
","New York: McGraw-Hill, 2000",Mạng cục bộ (mạng máy tính); Local area networks (Computer networks)
272304,Red hat linux network management tools,"Maxwell, Steven
",Sách in,"005.4   
/ M465 
","New York: McGraw Hill, 2000",Mạng máy tính; Computer networks
272343,Cisco router handbook,"Sackett, George C.
",Sách in,"004.62   
/ S121 
","New York: McGraw-Hill, 2000",Bộ phân tuyến (mạng máy tính); Routers (Computer networks)
272359,All-in-one Novell 5 CNA/CNE exam guide,"Mueller, John Paul
",Sách in,"005.7   
/ M946 
","New York: McGraw-Hill, 2000",Mạng máy tính; Computer networks
166787,Admin911 : SMS,"Trent, Rod
",Sách in,"005.71   
/ T795 
","Berkley: Osborne/McGraw-Hill, 2001",Computer networks; Mạng máy tính
48375,Mạng máy tính,"Hồ, Anh Phong  - Dịch giả
",Sách in,"004.65   
/ T164 
","[Hà Nội]: Thống Kê, 2002",Computer networks; Mạng máy tính
262003,Virus tin học - huyền thoại và thực tế,"Ngô, Anh Vũ
",Sách in,"005.84   
/ V500 
","Thành phố Hồ Chí Minh: Nxb. Thành phố Hồ Chí Minh, 2002",Mang máy tính; Computer networks
